title,table_number,domain,endpoint_short,category,subgroup_values,interaction_p
Table 301.3.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Age Group 1,"<=65 years, >65 years",0.2389
Table 301.3.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Sex,"Male, Female",0.8903
Table 301.3.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Region,"Asia, Non-Asia",0.4645
Table 301.3.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Number of Organs with Metastatic Sites,"0-2, >=3",0.7316
Table 301.3.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Age Group 1,"<=65 years, >65 years",0.2667
Table 301.3.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Sex,"Male, Female",0.3562
Table 301.3.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Region,"Asia, Non-Asia",0.3578
Table 301.3.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Number of Organs with Metastatic Sites,"0-2, >=3",0.0606
Table 301.3.3004.29.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Body Image,Age Group 1,"<=65 years, >65 years",0.0081
Table 301.3.3004.29.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Body Image,Sex,"Male, Female",0.3312
Table 301.3.3004.29.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Body Image,Region,"Asia, Non-Asia",0.8124
Table 301.3.3004.29.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Body Image,Number of Organs with Metastatic Sites,"0-2, >=3",0.2598
Table 301.3.3004.30.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Swallowing Saliva,Age Group 1,"<=65 years, >65 years",0.0096
Table 301.3.3004.30.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Swallowing Saliva,Sex,"Male, Female",0.6631
Table 301.3.3004.30.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Swallowing Saliva,Region,"Asia, Non-Asia",0.8318
Table 301.3.3004.30.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Swallowing Saliva,Number of Organs with Metastatic Sites,"0-2, >=3",0.2854
Table 301.3.3004.31.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score by Subgroups (MID=10) - Full,3004,PRO,TTFD: Choking,Age Group 1,"<=65 years, >65 years",0.0156
Table 301.3.3004.31.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score by Subgroups (MID=10) - Full,3004,PRO,TTFD: Choking,Sex,"Male, Female",0.5674
Table 301.3.3004.31.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score by Subgroups (MID=10) - Full,3004,PRO,TTFD: Choking,Region,"Asia, Non-Asia",0.8614
Table 301.3.3004.31.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score by Subgroups (MID=10) - Full,3004,PRO,TTFD: Choking,Number of Organs with Metastatic Sites,"0-2, >=3",0.079
Table 301.3.3004.32.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Coughing,Age Group 1,"<=65 years, >65 years",0.1356
Table 301.3.3004.32.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Coughing,Sex,"Male, Female",0.8382
Table 301.3.3004.32.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Coughing,Region,"Asia, Non-Asia",0.7622
Table 301.3.3004.32.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Coughing,Number of Organs with Metastatic Sites,"0-2, >=3",0.293
Table 301.3.3004.33.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Trouble Talking,Age Group 1,"<=65 years, >65 years",0.0168
Table 301.3.3004.33.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Trouble Talking,Sex,"Male, Female",0.992
Table 301.3.3004.33.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Trouble Talking,Region,"Asia, Non-Asia",0.936
Table 301.3.3004.33.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Trouble Talking,Number of Organs with Metastatic Sites,"0-2, >=3",0.3883
Table 301.3.3004.34.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Weight Loss,Age Group 1,"<=65 years, >65 years",0.4241
Table 301.3.3004.34.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Weight Loss,Sex,"Male, Female",0.4255
Table 301.3.3004.34.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Weight Loss,Region,"Asia, Non-Asia",0.9011
Table 301.3.3004.34.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Weight Loss,Number of Organs with Metastatic Sites,"0-2, >=3",0.1696
Table 301.3.3004.35.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Hair Loss,Age Group 1,"<=65 years, >65 years",0.8927
Table 301.3.3004.35.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Hair Loss,Sex,"Male, Female",0.1179
Table 301.3.3004.35.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Hair Loss,Region,"Asia, Non-Asia",0.8905
Table 301.3.3004.35.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Hair Loss,Number of Organs with Metastatic Sites,"0-2, >=3",0.3139
Table 301.3.3004.4.2: Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity by Subgroups (MID=2) - Full Analysis Set,3004,PRO,TTFD: Pain Intensity,Age Group 1,"<=65 years, >65 years",0.2271
Table 301.3.3004.4.2: Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity by Subgroups (MID=2) - Full Analysis Set,3004,PRO,TTFD: Pain Intensity,Sex,"Male, Female",0.6794
Table 301.3.3004.4.2: Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity by Subgroups (MID=2) - Full Analysis Set,3004,PRO,TTFD: Pain Intensity,Region,"Asia, Non-Asia",0.7515
Table 301.3.3004.4.2: Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity by Subgroups (MID=2) - Full Analysis Set,3004,PRO,TTFD: Pain Intensity,Number of Organs with Metastatic Sites,"0-2, >=3",0.4561
Table 301.3.3004.3.2: EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale by Subgroups (MID=15) - Full Analysis Set,3004,PRO,TTFD: EQ-5D VAS,Age Group 1,"<=65 years, >65 years",0.939
Table 301.3.3004.3.2: EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale by Subgroups (MID=15) - Full Analysis Set,3004,PRO,TTFD: EQ-5D VAS,Sex,"Male, Female",0.6756
Table 301.3.3004.3.2: EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale by Subgroups (MID=15) - Full Analysis Set,3004,PRO,TTFD: EQ-5D VAS,Region,"Asia, Non-Asia",0.6749
Table 301.3.3004.3.2: EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale by Subgroups (MID=15) - Full Analysis Set,3004,PRO,TTFD: EQ-5D VAS,Number of Organs with Metastatic Sites,"0-2, >=3",0.4577
Table 301.3.2001.1.2: Summary and Results of TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Age Group 1,"<=65 years, >65 years",0.4905
Table 301.3.2001.1.2: Summary and Results of TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Sex,"Male, Female",0.3405
Table 301.3.2001.1.2: Summary and Results of TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Region,"Asia, Non-Asia",0.1628
Table 301.3.2001.1.2: Summary and Results of TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Number of Organs with Metastatic Sites,"0-2, >=3",0.1164
Table 301.3.2001.3.2: Summary and Results of Severe TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Age Group 1,"<=65 years, >65 years",0.9913
Table 301.3.2001.3.2: Summary and Results of Severe TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Sex,"Male, Female",0.5595
Table 301.3.2001.3.2: Summary and Results of Severe TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Region,"Asia, Non-Asia",0.0975
Table 301.3.2001.3.2: Summary and Results of Severe TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Number of Organs with Metastatic Sites,"0-2, >=3",0.6416
Table 301.3.2001.4.2: Summary and Results of TESAEs by Subgroups - Safety Analysis Set,2001,Safety,TESAE (overall),Age Group 1,"<=65 years, >65 years",0.6883
Table 301.3.2001.4.2: Summary and Results of TESAEs by Subgroups - Safety Analysis Set,2001,Safety,TESAE (overall),Sex,"Male, Female",0.5483
Table 301.3.2001.4.2: Summary and Results of TESAEs by Subgroups - Safety Analysis Set,2001,Safety,TESAE (overall),Region,"Asia, Non-Asia",0.5221
Table 301.3.2001.4.2: Summary and Results of TESAEs by Subgroups - Safety Analysis Set,2001,Safety,TESAE (overall),Number of Organs with Metastatic Sites,"0-2, >=3",0.817
Table 301.3.2001.5.2: Summary and Results of Permanent Treatment Discontinuation due to TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Age Group 1,"<=65 years, >65 years",0.7187
Table 301.3.2001.5.2: Summary and Results of Permanent Treatment Discontinuation due to TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Sex,"Male, Female",0.3807
Table 301.3.2001.5.2: Summary and Results of Permanent Treatment Discontinuation due to TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Region,"Asia, Non-Asia",0.2968
Table 301.3.2001.5.2: Summary and Results of Permanent Treatment Discontinuation due to TEAEs by Subgroups - Safety Analysis Set,2001,Safety,Any TEAE,Number of Organs with Metastatic Sites,"0-2, >=3",0.6969
Table 301.3.2001.14.2: Summary and Results of TEAEs by Subgroups - Tachycardia (PT),2001,Safety,TEAE – Tachycardia,Region,"Asia, Non-Asia",0.9938
Table 301.3.2001.21.2: Summary and Results of TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,TEAE – GI Disorders,Age Group 1,"<=65 years, >65 years",0.986
Table 301.3.2001.21.2: Summary and Results of TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,TEAE – GI Disorders,Sex,"Male, Female",0.2112
Table 301.3.2001.21.2: Summary and Results of TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,TEAE – GI Disorders,Region,"Asia, Non-Asia",0.1394
Table 301.3.2001.21.2: Summary and Results of TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,TEAE – GI Disorders,Number of Organs with Metastatic Sites,"0-2, >=3",0.2949
Table 301.3.2001.36.2: Summary and Results of TEAEs by Subgroups - Nausea (PT),2001,Safety,TEAE – Nausea (PT),Age Group 1,"<=65 years, >65 years",0.0868
Table 301.3.2001.36.2: Summary and Results of TEAEs by Subgroups - Nausea (PT),2001,Safety,TEAE – Nausea (PT),Sex,"Male, Female",0.1032
Table 301.3.2001.36.2: Summary and Results of TEAEs by Subgroups - Nausea (PT),2001,Safety,TEAE – Nausea (PT),Region,"Asia, Non-Asia",0.5163
Table 301.3.2001.36.2: Summary and Results of TEAEs by Subgroups - Nausea (PT),2001,Safety,TEAE – Nausea (PT),Number of Organs with Metastatic Sites,"0-2, >=3",0.4459
Table 301.3.2001.38.2: Summary and Results of TEAEs by Subgroups - Salivary Hypersecretion (PT),2001,Safety,TEAE – Salivary Hypersecr.,Region,"Asia, Non-Asia",0.9936
Table 301.3.2001.38.2: Summary and Results of TEAEs by Subgroups - Salivary Hypersecretion (PT),2001,Safety,TEAE – Salivary Hypersecr.,Number of Organs with Metastatic Sites,"0-2, >=3",0.994
Table 301.3.2001.41.2: Summary and Results of TEAEs by Subgroups - Vomiting (PT),2001,Safety,TEAE – Vomiting (PT),Age Group 1,"<=65 years, >65 years",0.5421
Table 301.3.2001.41.2: Summary and Results of TEAEs by Subgroups - Vomiting (PT),2001,Safety,TEAE – Vomiting (PT),Sex,"Male, Female",0.7974
Table 301.3.2001.41.2: Summary and Results of TEAEs by Subgroups - Vomiting (PT),2001,Safety,TEAE – Vomiting (PT),Region,"Asia, Non-Asia",0.6828
Table 301.3.2001.41.2: Summary and Results of TEAEs by Subgroups - Vomiting (PT),2001,Safety,TEAE – Vomiting (PT),Number of Organs with Metastatic Sites,"0-2, >=3",0.2746
Table 301.3.2001.50.2: Summary and Results of TEAEs by Subgroups - Malaise (PT),2001,Safety,TEAE – Malaise,Age Group 1,"<=65 years, >65 years",0.9157
Table 301.3.2001.50.2: Summary and Results of TEAEs by Subgroups - Malaise (PT),2001,Safety,TEAE – Malaise,Sex,"Male, Female",0.9281
Table 301.3.2001.50.2: Summary and Results of TEAEs by Subgroups - Malaise (PT),2001,Safety,TEAE – Malaise,Region,"Asia, Non-Asia",0.4392
Table 301.3.2001.50.2: Summary and Results of TEAEs by Subgroups - Malaise (PT),2001,Safety,TEAE – Malaise,Number of Organs with Metastatic Sites,"0-2, >=3",0.117
Table 301.3.2001.54.2: Summary and Results of TEAEs by Subgroups - Oedema Peripheral (PT),2001,Safety,TEAE – Oedema Periph.,Age Group 1,"<=65 years, >65 years",0.0632
Table 301.3.2001.54.2: Summary and Results of TEAEs by Subgroups - Oedema Peripheral (PT),2001,Safety,TEAE – Oedema Periph.,Sex,"Male, Female",0.3828
Table 301.3.2001.54.2: Summary and Results of TEAEs by Subgroups - Oedema Peripheral (PT),2001,Safety,TEAE – Oedema Periph.,Region,"Asia, Non-Asia",0.1248
Table 301.3.2001.54.2: Summary and Results of TEAEs by Subgroups - Oedema Peripheral (PT),2001,Safety,TEAE – Oedema Periph.,Number of Organs with Metastatic Sites,"0-2, >=3",0.5087
Table 301.3.2001.64.2: Summary and Results of TEAEs by Subgroups - Oral Candidiasis (PT),2001,Safety,TEAE – Oral Candidiasis,Age Group 1,"<=65 years, >65 years",0.2311
Table 301.3.2001.64.2: Summary and Results of TEAEs by Subgroups - Oral Candidiasis (PT),2001,Safety,TEAE – Oral Candidiasis,Sex,"Male, Female",0.8437
Table 301.3.2001.64.2: Summary and Results of TEAEs by Subgroups - Oral Candidiasis (PT),2001,Safety,TEAE – Oral Candidiasis,Region,"Asia, Non-Asia",0.4813
Table 301.3.2001.64.2: Summary and Results of TEAEs by Subgroups - Oral Candidiasis (PT),2001,Safety,TEAE – Oral Candidiasis,Number of Organs with Metastatic Sites,"0-2, >=3",0.9917
Table 301.3.2001.75.2: Summary and Results of TEAEs by Subgroups - Blood Bilirubin Increased (PT),2001,Safety,TEAE – Bili. Increased,Age Group 1,"<=65 years, >65 years",0.9917
Table 301.3.2001.75.2: Summary and Results of TEAEs by Subgroups - Blood Bilirubin Increased (PT),2001,Safety,TEAE – Bili. Increased,Sex,"Male, Female",0.3638
Table 301.3.2001.75.2: Summary and Results of TEAEs by Subgroups - Blood Bilirubin Increased (PT),2001,Safety,TEAE – Bili. Increased,Region,"Asia, Non-Asia",0.7525
Table 301.3.2001.75.2: Summary and Results of TEAEs by Subgroups - Blood Bilirubin Increased (PT),2001,Safety,TEAE – Bili. Increased,Number of Organs with Metastatic Sites,"0-2, >=3",0.3584
Table 301.3.2001.85.2: Summary and Results of TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,TEAE – Metabolism,Age Group 1,"<=65 years, >65 years",0.7971
Table 301.3.2001.85.2: Summary and Results of TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,TEAE – Metabolism,Sex,"Male, Female",0.6456
Table 301.3.2001.85.2: Summary and Results of TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,TEAE – Metabolism,Region,"Asia, Non-Asia",0.9752
Table 301.3.2001.85.2: Summary and Results of TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,TEAE – Metabolism,Number of Organs with Metastatic Sites,"0-2, >=3",0.6763
Table 301.3.2001.86.2: Summary and Results of TEAEs by Subgroups - Decreased Appetite (PT),2001,Safety,TEAE – Dec. Appetite,Age Group 1,"<=65 years, >65 years",0.6648
Table 301.3.2001.86.2: Summary and Results of TEAEs by Subgroups - Decreased Appetite (PT),2001,Safety,TEAE – Dec. Appetite,Sex,"Male, Female",0.3129
Table 301.3.2001.86.2: Summary and Results of TEAEs by Subgroups - Decreased Appetite (PT),2001,Safety,TEAE – Dec. Appetite,Region,"Asia, Non-Asia",0.9133
Table 301.3.2001.86.2: Summary and Results of TEAEs by Subgroups - Decreased Appetite (PT),2001,Safety,TEAE – Dec. Appetite,Number of Organs with Metastatic Sites,"0-2, >=3",0.5392
Table 301.3.2001.90.2: Summary and Results of TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,TEAE – Hypoalb.,Age Group 1,"<=65 years, >65 years",0.5308
Table 301.3.2001.90.2: Summary and Results of TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,TEAE – Hypoalb.,Sex,"Male, Female",0.0224
Table 301.3.2001.90.2: Summary and Results of TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,TEAE – Hypoalb.,Region,"Asia, Non-Asia",0.9954
Table 301.3.2001.90.2: Summary and Results of TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,TEAE – Hypoalb.,Number of Organs with Metastatic Sites,"0-2, >=3",0.3347
Table 301.3.2001.91.2: Summary and Results of TEAEs by Subgroups - Hypocalcaemia (PT),2001,Safety,TEAE – Hypocalc.,Age Group 1,"<=65 years, >65 years",0.3193
Table 301.3.2001.91.2: Summary and Results of TEAEs by Subgroups - Hypocalcaemia (PT),2001,Safety,TEAE – Hypocalc.,Sex,"Male, Female",0.7554
Table 301.3.2001.91.2: Summary and Results of TEAEs by Subgroups - Hypocalcaemia (PT),2001,Safety,TEAE – Hypocalc.,Region,"Asia, Non-Asia",0.2966
Table 301.3.2001.91.2: Summary and Results of TEAEs by Subgroups - Hypocalcaemia (PT),2001,Safety,TEAE – Hypocalc.,Number of Organs with Metastatic Sites,"0-2, >=3",0.9599
Table 301.3.2001.100.2: Summary and Results of TEAEs by Subgroups - Flank Pain (PT),2001,Safety,TEAE – Flank Pain,Number of Organs with Metastatic Sites,"0-2, >=3",0.9944
Table 301.3.2001.125.2: Summary and Results of TEAEs by Subgroups - Dysuria (PT),2001,Safety,TEAE – Dysuria,Age Group 1,"<=65 years, >65 years",0.9895
Table 301.3.2001.125.2: Summary and Results of TEAEs by Subgroups - Dysuria (PT),2001,Safety,TEAE – Dysuria,Sex,"Male, Female",0.7929
Table 301.3.2001.125.2: Summary and Results of TEAEs by Subgroups - Dysuria (PT),2001,Safety,TEAE – Dysuria,Region,"Asia, Non-Asia",0.6617
Table 301.3.2001.125.2: Summary and Results of TEAEs by Subgroups - Dysuria (PT),2001,Safety,TEAE – Dysuria,Number of Organs with Metastatic Sites,"0-2, >=3",0.8017
Table 301.3.2001.134.2: Summary and Results of TEAEs by Subgroups - Oropharyngeal Pain (PT),2001,Safety,TEAE – Oropharyngeal Pain,Age Group 1,"<=65 years, >65 years",0.6708
Table 301.3.2001.134.2: Summary and Results of TEAEs by Subgroups - Oropharyngeal Pain (PT),2001,Safety,TEAE – Oropharyngeal Pain,Sex,"Male, Female",0.9896
Table 301.3.2001.134.2: Summary and Results of TEAEs by Subgroups - Oropharyngeal Pain (PT),2001,Safety,TEAE – Oropharyngeal Pain,Region,"Asia, Non-Asia",0.8227
Table 301.3.2001.134.2: Summary and Results of TEAEs by Subgroups - Oropharyngeal Pain (PT),2001,Safety,TEAE – Oropharyngeal Pain,Number of Organs with Metastatic Sites,"0-2, >=3",0.4317
Table 301.3.2001.182.2: Summary and Results of Severe TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,Severe – GI Disorders,Age Group 1,"<=65 years, >65 years",0.4916
Table 301.3.2001.182.2: Summary and Results of Severe TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,Severe – GI Disorders,Sex,"Male, Female",0.354
Table 301.3.2001.182.2: Summary and Results of Severe TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,Severe – GI Disorders,Region,"Asia, Non-Asia",0.107
Table 301.3.2001.182.2: Summary and Results of Severe TEAEs by Subgroups - Gastrointestinal Disorders (SOC),2001,Safety,Severe – GI Disorders,Number of Organs with Metastatic Sites,"0-2, >=3",0.8952
Table 301.3.2001.187.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (PT),2001,Safety,Severe – Nausea (PT),Age Group 1,"<=65 years, >65 years",0.2807
Table 301.3.2001.187.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (PT),2001,Safety,Severe – Nausea (PT),Sex,"Male, Female",0.8748
Table 301.3.2001.187.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (PT),2001,Safety,Severe – Nausea (PT),Region,"Asia, Non-Asia",0.2576
Table 301.3.2001.187.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (PT),2001,Safety,Severe – Nausea (PT),Number of Organs with Metastatic Sites,"0-2, >=3",0.2934
Table 301.3.2001.189.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (PT),2001,Safety,Severe – Vomiting (PT),Age Group 1,"<=65 years, >65 years",0.2439
Table 301.3.2001.189.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (PT),2001,Safety,Severe – Vomiting (PT),Sex,"Male, Female",0.6072
Table 301.3.2001.189.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (PT),2001,Safety,Severe – Vomiting (PT),Region,"Asia, Non-Asia",0.6727
Table 301.3.2001.189.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (PT),2001,Safety,Severe – Vomiting (PT),Number of Organs with Metastatic Sites,"0-2, >=3",0.2735
Table 301.3.2001.191.2: Summary and Results of Severe TEAEs by Subgroups - Asthenia (PT),2001,Safety,Severe – Asthenia,Age Group 1,"<=65 years, >65 years",0.2848
Table 301.3.2001.191.2: Summary and Results of Severe TEAEs by Subgroups - Asthenia (PT),2001,Safety,Severe – Asthenia,Sex,"Male, Female",0.1046
Table 301.3.2001.191.2: Summary and Results of Severe TEAEs by Subgroups - Asthenia (PT),2001,Safety,Severe – Asthenia,Region,"Asia, Non-Asia",0.2786
Table 301.3.2001.191.2: Summary and Results of Severe TEAEs by Subgroups - Asthenia (PT),2001,Safety,Severe – Asthenia,Number of Organs with Metastatic Sites,"0-2, >=3",0.6779
Table 301.3.2001.198.2: Summary and Results of Severe TEAEs by Subgroups - Alanine Aminotransferase Increased (PT),2001,Safety,Severe TEAE,Number of Organs with Metastatic Sites,"0-2, >=3",0.9939
Table 301.3.2001.202.2: Summary and Results of Severe TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,Severe – Metabolism,Age Group 1,"<=65 years, >65 years",0.7171
Table 301.3.2001.202.2: Summary and Results of Severe TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,Severe – Metabolism,Sex,"Male, Female",0.6349
Table 301.3.2001.202.2: Summary and Results of Severe TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,Severe – Metabolism,Region,"Asia, Non-Asia",0.0201
Table 301.3.2001.202.2: Summary and Results of Severe TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC),2001,Safety,Severe – Metabolism,Number of Organs with Metastatic Sites,"0-2, >=3",0.7198
Table 301.3.2001.204.2: Summary and Results of Severe TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,Severe – Hypoalb.,Age Group 1,"<=65 years, >65 years",0.9912
Table 301.3.2001.204.2: Summary and Results of Severe TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,Severe – Hypoalb.,Region,"Asia, Non-Asia",0.9994
Table 301.3.2001.204.2: Summary and Results of Severe TEAEs by Subgroups - Hypoalbuminaemia (PT),2001,Safety,Severe – Hypoalb.,Number of Organs with Metastatic Sites,"0-2, >=3",0.9932
Table 301.3.2001.217.2: Summary and Results of TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TEAE – Abd. Pain (AESI),Age Group 1,"<=65 years, >65 years",0.3385
Table 301.3.2001.217.2: Summary and Results of TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TEAE – Abd. Pain (AESI),Sex,"Male, Female",0.3955
Table 301.3.2001.217.2: Summary and Results of TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TEAE – Abd. Pain (AESI),Region,"Asia, Non-Asia",0.7025
Table 301.3.2001.217.2: Summary and Results of TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TEAE – Abd. Pain (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.4521
Table 301.3.2001.218.2: Summary and Results of TEAEs by Subgroups - Anemia (AESI),2001,Safety,TEAE – Anemia (AESI),Age Group 1,"<=65 years, >65 years",0.2806
Table 301.3.2001.218.2: Summary and Results of TEAEs by Subgroups - Anemia (AESI),2001,Safety,TEAE – Anemia (AESI),Sex,"Male, Female",0.5037
