nr,page_start,page_end,filename
49,202,202,0049_Table 301.1.3004.6.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning (MID=10) - Full Analysis Set.xlsx
50,203,203,0050_Table 301.1.3004.6.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
51,204,204,0051_Table 301.1.3004.7.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning (MID=10) - Full Analysis Set.xlsx
52,205,205,0052_Table 301.1.3004.7.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
53,206,206,0053_Table 301.1.3004.8.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning (MID=10) - Full Analysis Set.xlsx
54,207,207,0054_Table 301.1.3004.8.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
55,208,208,0055_Table 301.1.3004.9.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning (MID=10) - Full Analysis Set.xlsx
56,209,209,0056_Table 301.1.3004.9.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
57,210,210,0057_Table 301.1.3004.10.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning (MID=10) - Full Analysis Set.xlsx
58,211,211,0058_Table 301.1.3004.10.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
59,212,212,0059_Table 301.1.3004.11.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue (MID=10) - Full Analysis Set.xlsx
60,213,213,0060_Table 301.1.3004.11.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue by Subgroups (MID=10) - Full Analysis Set.xlsx
61,214,214,0061_Table 301.1.3004.12.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting (MID=10) - Full Analysis Set.xlsx
62,215,215,0062_Table 301.1.3004.12.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting by Subgroups (MID=10) - Full Analysis Set.xlsx
63,216,216,0063_Table 301.1.3004.13.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain (MID=10) - Full Analysis Set.xlsx
64,217,217,0064_Table 301.1.3004.13.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain by Subgroups (MID=10) - Full Analysis Set.xlsx
65,218,218,0065_Table 301.1.3004.14.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea (MID=10) - Full Analysis Set.xlsx
66,219,219,0066_Table 301.1.3004.14.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea by Subgroups (MID=10) - Full Analysis Set.xlsx
67,220,220,0067_Table 301.1.3004.15.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia (MID=10) - Full Analysis Set.xlsx
68,221,221,0068_Table 301.1.3004.15.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia by Subgroups (MID=10) - Full Analysis Set.xlsx
69,222,222,0069_Table 301.1.3004.16.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss (MID=10) - Full Analysis Set.xlsx
70,223,223,0070_Table 301.1.3004.16.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss by Subgroups (MID=10) - Full Analysis Set.xlsx
71,224,224,0071_Table 301.1.3004.17.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation (MID=10) - Full Analysis Set.xlsx
72,225,225,0072_Table 301.1.3004.17.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation by Subgroups (MID=10) - Full Analysis Set.xlsx
73,226,226,0073_Table 301.1.3004.18.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea (MID=10) - Full Analysis Set.xlsx
74,227,227,0074_Table 301.1.3004.18.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea by Subgroups (MID=10) - Full Analysis Set.xlsx
75,228,228,0075_Table 301.1.3004.19.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties (MID=10) - Full Analysis Set.xlsx
76,229,229,0076_Table 301.1.3004.19.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties by Subgroups (MID=10) - Full Analysis Set.xlsx
77,275,277,0077_Table 301.1.3001.2_ EORTC QLQ-OG25 - Completion Status - Full Analysis Set.xlsx
78,278,280,0078_Table 301.1.3001.20_ EORTC QLQ-OG25 - Completion Status of Dysphagia - Full Analysis Set.xlsx
79,281,283,0079_Table 301.1.3001.21_ EORTC QLQ-OG25 - Completion Status of Eating Restrictions - Full Analysis Set.xlsx
80,284,286,0080_Table 301.1.3001.22_ EORTC QLQ-OG25 - Completion Status of Reflux - Full Analysis Set.xlsx
81,287,289,0081_Table 301.1.3001.23_ EORTC QLQ-OG25 - Completion Status of Odynophagia - Full Analysis Set.xlsx
82,290,292,0082_Table 301.1.3001.24_ EORTC QLQ-OG25 - Completion Status of Pain and Discomfort - Full Analysis Set.xlsx
83,293,295,0083_Table 301.1.3001.25_ EORTC QLQ-OG25 - Completion Status of Anxiety - Full Analysis Set.xlsx
84,296,298,0084_Table 301.1.3001.26_ EORTC QLQ-OG25 - Completion Status of Eating in Front of Others - Full Analysis Set.xlsx
85,299,301,0085_Table 301.1.3001.27_ EORTC QLQ-OG25 - Completion Status of Dry Mouth - Full Analysis Set.xlsx
86,302,304,0086_Table 301.1.3001.28_ EORTC QLQ-OG25 - Completion Status of Trouble with Taste - Full Analysis Set.xlsx
87,305,307,0087_Table 301.1.3001.29_ EORTC QLQ-OG25 - Completion Status of Body Image - Full Analysis Set.xlsx
88,308,310,0088_Table 301.1.3001.30_ EORTC QLQ-OG25 - Completion Status of Trouble Swallowing Saliva - Full Analysis Set.xlsx
89,311,313,0089_Table 301.1.3001.31_ EORTC QLQ-OG25 - Completion Status of Choked when Swallowing Score - Full Analysis Set.xlsx
90,314,316,0090_Table 301.1.3001.32_ EORTC QLQ-OG25 - Completion Status of Trouble with Coughing - Full Analysis Set.xlsx
